"geneid"	"GSE81520"
"Y110A7A.10"	4.4688481891836
"F27C8.1"	-3.05566285317904
"F07C3.7"	-3.88061333454669
"F52H2.2"	-5.72129000320072
"T13A10.10"	0.209670931288699
"C55C2.5"	0.420744116843293
"T11F9.4"	-7.55620361996975
"F54D12.3"	-1.02406275957398
"F28F9.4"	-0.498892343641409
"Y53H1C.1"	-1.99966135974237
"C50F2.10"	0.964826247861299
"Y38H6C.22"	-0.165336351282598
"T22H6.5"	-0.247686618608828
"T22H6.7"	-3.14161122217885
"M79.1"	-2.67459269622402
"C24F3.5"	0.25164922293469
"F12B6.1"	-2.73740638442553
"Y39D8C.1"	-2.94374337719816
"Y53C10A.9"	-0.822531338967308
"AC3.3"	-1.55430118118064
"C03A7.7"	-2.72807582110026
"C03A7.8"	-1.90115504135269
"C03A7.14"	-1.31417257086511
"F35A5.3"	-1.76068355653216
"T01D1.6"	-2.03334807005062
"W09B12.1"	-0.823608296863574
"Y44E3A.2"	-8.35922282066981
"Y48B6A.8"	-5.75363392827116
"Y48B6A.7"	0.488269663719238
"C42D8.5"	-0.277053209698511
"ZK455.1"	0.534514699839286
"F54H12.1"	1.79956855456044
"K11G12.2"	-3.6964145196227
"K11G12.7"	-0.564770039201039
"K03F8.2"	-2.55219564027176
"ZK973.5"	1.27592237166827
"T09A5.3"	-1.42124589175841
"ZC504.2"	2.0711634362383
"C40C9.2"	-3.4653797188682
"R02E12.8"	-1.3362797998469
"D2092.3"	0.259608180320212
"R01E6.4"	-3.24358292304892
"T05C12.2"	0.16270618622856
"F25G6.4"	-8.84060007402641
"F25G6.3"	-6.55945166276293
"F53E10.2"	-1.6413129664933
"F28F8.1"	-3.1598452703488
"C31H5.3"	-1.13031855231275
"R06A4.10"	-5.06466082750952
"F27B3.2"	-3.11002460516266
"F48E3.7"	-0.272563705951321
"F59B1.9"	-2.33919797701536
"T04C12.6"	0.878377296005371
"T04C12.5"	-0.0743762064716126
"T04C12.4"	1.34250490377314
"M03F4.2"	0.749268110577149
"T25C8.2"	-2.51747313620859
"F17C8.1"	-4.78999526546284
"C10F3.3"	-6.26895099198893
"C44F1.5"	-3.68963519614557
"T01C2.1"	-1.74429491140583
"F39C12.2"	1.14633973796474
"F57F5.4"	1.54367532820083
"C04A11.4"	-5.41168755923375
"ZK154.7"	-6.49623029155734
"H15N14.1"	-0.778715871776778
"T20H4.4"	-1.65641136584899
"Y50D7A.7"	0.715333750373915
"C02B4.1"	0.279029125964106
"F08C6.1"	0.130820921928015
"D2030.10"	-0.871972565892619
"T14B1.2"	-0.721085809460515
"C02H7.3"	-4.14693232242053
"F32A7.6"	-2.8716016252965
"Y87G2A.4"	0.840729798327585
"B0334.8"	1.76007153625352
"F32A6.4"	-4.10680505893535
"Y62E10A.5"	1.39778051345951
"F09E5.13"	2.35856884919545
"C25A1.11"	1.25646167733415
"C41G7.5"	-2.02439448490834
"F58E10.4"	15.1676903727415
"K07C11.2"	-0.223603550354162
"B0207.4"	-1.20685820912925
"C25A11.4"	1.99181502935282
"D1022.7"	-0.88048394686903
"C12D8.10"	-0.280507801417593
"F28H6.1"	4.06552097527982
"F48F7.1"	-1.2760347179369
"T07D3.7"	-4.29442157187718
"F54D8.3"	1.76470073164418
"K04F1.15"	1.99924052275299
"F36H1.6"	1.44629920589102
"T05H4.13"	2.11159622144739
"T08B1.3"	-1.35347072443196
"F56D12.1"	0.066097209414745
"F45H10.1"	0.693253141029392
"F13D12.4"	-0.0540310255341922
"F01F1.6"	1.30534606441844
"C54D1.4"	1.55069582692232
"F42G9.5"	2.63065330939914
"Y69F12A.2"	6.82901749538956
"C01F6.5"	1.70386547831554
"F23B2.6"	1.65095839587604
"M18.7"	2.8481616612593
"F36A4.7"	-2.06782307741685
"C05E11.4"	-0.406130286022051
"F49E11.3"	3.48943876454409
"M195.3"	0.0102535719102899
"C05E11.5"	-1.98604431070629
"R13G10.2"	-4.9466544814448
"B0019.1"	-0.649101214793956
"F25C8.2"	-0.629126701349598
"ZK973.6"	0.408453373107329
"C08B6.9"	3.49071125078426
"K06H7.6"	-4.16645380848399
"F15H10.3"	-0.315643493954079
"F35G12.9"	3.3383057894121
"F46F3.4"	7.85196056578337
"VF36H2L.1"	-1.65190390553056
"ZC434.6"	-3.52303506334464
"C42D8.8"	-2.62401932194251
"F55A12.7"	2.86308207663643
"T05H10.2"	0.471247338866759
"W03G9.4"	0.724479636149726
"K04G2.8"	0.27735281510591
"F02E8.3"	3.09226996313551
"Y105E8A.9"	-1.0885448752017
"F29G9.3"	1.79262346820364
"Y71H2B.10"	-0.43241223713766
"T20B5.1"	0.633182886125873
"W09G10.4"	1.49183581437506
"R11A5.1"	0.825196199188204
"F53H8.1"	-2.39705538481616
"Y48G8AL.14"	1.80824616000225
"W04G3.4"	0.204429749108691
"K08D9.3"	-3.19982982834248
"F32A5.5"	1.81555613500322
"C01G6.1"	1.43194260588726
"F40F9.9"	-1.45376578238241
"C35A5.1"	-1.12539398574088
"C32C4.2"	0.407414630894408
"M02F4.8"	-0.455852115864296
"K02G10.7"	0.116668740821464
"K07A1.16"	3.29322829153668
"ZK1321.3"	1.41340870196657
"ZK525.2"	-2.88358419755198
"ZK1320.6"	3.69205646987987
"F01G4.2"	3.53207718634173
"B0336.2"	0.538953828129444
"F57H12.1"	1.44506783691861
"Y116A8C.12"	0.324251301138941
"F31A9.3"	-0.977967307181002
"C01C7.1"	2.36581267483162
"F54C9.10"	1.40645848700989
"F19H8.3"	3.02585229352415
"ZK632.8"	2.27575001909896
