"geneid"	"SRR2040653"	"SRR2040654"	"SRR2040655"	"SRR2040656"	"SRR2040657"	"SRR2040658"
"WBGene00019823"	"413"	"97"	"124"	"252"	"200"	"186"
"WBGene00019820"	"663"	"274"	"219"	"372"	"312"	"235"
"WBGene00019819"	"40"	"43"	"50"	"31"	"98"	"88"
"WBGene00001728"	"1"	"0"	"0"	"0"	"0"	"0"
"WBGene00019824"	"544"	"204"	"90"	"278"	"97"	"75"
"WBGene00019825"	"171"	"483"	"351"	"791"	"781"	"493"
"WBGene00001071"	"43"	"67"	"72"	"59"	"78"	"85"
"WBGene00020647"	"429"	"421"	"443"	"856"	"705"	"430"
"WBGene00003932"	"1150"	"182"	"132"	"220"	"47"	"108"
"WBGene00020651"	"222"	"106"	"156"	"59"	"71"	"104"
"WBGene00020650"	"0"	"0"	"0"	"1"	"2"	"0"
"WBGene00005487"	"3"	"0"	"0"	"2"	"1"	"1"
"WBGene00003362"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00020649"	"213"	"51"	"21"	"37"	"6"	"21"
"WBGene00206487"	"179"	"49"	"55"	"185"	"69"	"87"
"WBGene00045177"	"104"	"16"	"5"	"25"	"2"	"4"
"WBGene00020648"	"71"	"0"	"0"	"26"	"1"	"0"
"WBGene00019298"	"1042"	"210"	"260"	"443"	"120"	"123"
"WBGene00019300"	"83"	"27"	"11"	"77"	"17"	"9"
"WBGene00019299"	"25"	"0"	"9"	"7"	"12"	"13"
"WBGene00198707"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00001099"	"300"	"158"	"266"	"49"	"7"	"30"
"WBGene00001735"	"10"	"1"	"1"	"16"	"3"	"2"
"WBGene00200120"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00023092"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00017578"	"88"	"31"	"16"	"4"	"5"	"5"
"WBGene00000675"	"4023"	"110139"	"41987"	"15226"	"90892"	"47579"
"WBGene00017577"	"21"	"0"	"0"	"0"	"0"	"0"
"WBGene00017574"	"199"	"50"	"31"	"28"	"10"	"28"
"WBGene00017576"	"54"	"1"	"1"	"20"	"5"	"3"
"WBGene00197593"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00022048"	"1244"	"727"	"494"	"1364"	"829"	"577"
"WBGene00220192"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00004981"	"775"	"412"	"291"	"274"	"239"	"244"
"WBGene00020295"	"40"	"79"	"124"	"103"	"211"	"115"
"WBGene00004493"	"122392"	"217564"	"226011"	"171857"	"243698"	"272760"
"WBGene00044789"	"814"	"1027"	"1546"	"1218"	"1496"	"1436"
"WBGene00020300"	"236"	"142"	"239"	"234"	"294"	"208"
"WBGene00001338"	"136"	"40"	"30"	"41"	"18"	"15"
"WBGene00020298"	"510"	"260"	"215"	"432"	"239"	"196"
"WBGene00045249"	"422"	"116"	"58"	"112"	"40"	"42"
"WBGene00020297"	"667"	"298"	"826"	"1026"	"1309"	"982"
"WBGene00020296"	"544"	"220"	"165"	"278"	"164"	"202"
"WBGene00001666"	"25"	"4"	"0"	"3"	"0"	"0"
"WBGene00002187"	"508"	"102"	"71"	"152"	"37"	"41"
"WBGene00219270"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165558"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00020299"	"233"	"47"	"30"	"71"	"16"	"27"
"WBGene00001332"	"342"	"101"	"51"	"150"	"56"	"54"
"WBGene00000913"	"1341"	"572"	"195"	"538"	"432"	"220"
"WBGene00022046"	"3085"	"2219"	"2555"	"2510"	"2121"	"2801"
"WBGene00022047"	"57"	"33"	"335"	"8"	"246"	"259"
"WBGene00271640"	"0"	"0"	"1"	"0"	"1"	"0"
"WBGene00002041"	"258"	"170"	"79"	"363"	"222"	"155"
"WBGene00022045"	"177"	"305"	"631"	"540"	"760"	"762"
"WBGene00022044"	"583"	"201"	"130"	"243"	"116"	"166"
"WBGene00235263"	"15"	"15"	"22"	"34"	"50"	"41"
"WBGene00235264"	"0"	"0"	"3"	"5"	"0"	"0"
"WBGene00019772"	"389"	"385"	"435"	"817"	"603"	"485"
"WBGene00019773"	"57"	"142"	"67"	"123"	"122"	"71"
"WBGene00019774"	"29"	"11"	"58"	"29"	"53"	"57"
"WBGene00220031"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00271837"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00235265"	"3"	"1"	"0"	"1"	"0"	"0"
"WBGene00021011"	"22"	"40"	"32"	"85"	"56"	"57"
"WBGene00021012"	"376"	"230"	"98"	"220"	"267"	"124"
"WBGene00000213"	"120"	"591"	"1063"	"33"	"177"	"118"
"WBGene00201763"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00021010"	"25"	"39"	"95"	"53"	"114"	"101"
"WBGene00021013"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00001625"	"5"	"2"	"2"	"1"	"1"	"1"
"WBGene00199193"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00018924"	"20"	"4"	"1"	"8"	"0"	"1"
"WBGene00200779"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00201760"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00198589"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00195964"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00001165"	"359"	"44"	"13"	"177"	"30"	"13"
"WBGene00197598"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00197815"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00219978"	"1"	"0"	"0"	"0"	"0"	"0"
"WBGene00018925"	"723"	"861"	"1021"	"994"	"1434"	"1333"
"WBGene00001579"	"270"	"79"	"57"	"170"	"95"	"47"
"WBGene00018926"	"218"	"898"	"848"	"698"	"1152"	"1281"
"WBGene00189987"	"1"	"2"	"3"	"3"	"2"	"1"
"WBGene00015996"	"15"	"3"	"5"	"13"	"2"	"3"
"WBGene00015994"	"274"	"813"	"905"	"647"	"1094"	"1277"
"WBGene00199836"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00015997"	"61"	"58"	"95"	"78"	"80"	"71"
"WBGene00044457"	"37"	"5"	"15"	"0"	"1"	"8"
"WBGene00015998"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00015999"	"0"	"2"	"0"	"0"	"0"	"0"
"WBGene00000676"	"0"	"1"	"2"	"2"	"1"	"0"
"WBGene00199072"	"0"	"0"	"0"	"0"	"0"	"0"
